HEI	Course Code	INSTITUTION and COURSE	EOS	Mid
"Athlone Institute of Technology"	AL801	Software Design with Virtual Reality and Gaming	304	328
"Athlone Institute of Technology"	AL802	Software Design with Cloud Computing	301	306
"Athlone Institute of Technology"	AL803	Software Design with Mobile Apps and Connected Devices	309	337
"Athlone Institute of Technology"	AL805	Network Management and Cloud Infrastructure	329	442
"Athlone Institute of Technology"	AL810	Quantity Surveying	307	349
"Athlone Institute of Technology"	AL820	Mechanical and Polymer Engineering	300	358
"Athlone Institute of Technology"	AL830	General Nursing	410	429
"Athlone Institute of Technology"	AL832	Psychiatric Nursing	387	403
"Athlone Institute of Technology"	AL836	Nutrition and Health Science	352	383
"Athlone Institute of Technology"	AL837	Sports Science with Exercise Physiology	351	392
"Athlone Institute of Technology"	AL838	Biotechnology	302	372
"Athlone Institute of Technology"	AL839	Microbiology	322	371
"Athlone Institute of Technology"	AL840	Pharmaceutical Sciences	328	411
"Athlone Institute of Technology"	AL841	Athletic and Rehabilitation Therapy	423	430
"Athlone Institute of Technology"	AL842	Bioveterinary Science	310	366
"Athlone Institute of Technology"	AL843	Physical Activity and Health Science	310	330
"Athlone Institute of Technology"	AL850	Business	307	356
"Athlone Institute of Technology"	AL851	Business and Law	301	341
"Athlone Institute of Technology"	AL852	Accounting (with optional placement)	290	346
"Athlone Institute of Technology"	AL853	Accounting and Law	305	320
"Athlone Institute of Technology"	AL855	Hospitality Management (with International placement)	312	357
"Athlone Institute of Technology"	AL857	Digital Marketing	300	360
"Athlone Institute of Technology"	AL860	Social Care Practice	309	338
"Athlone Institute of Technology"	AL861	Animation and Illustration (portfolio)	#615	899
"Athlone Institute of Technology"	AL863	Graphic and Digital Design (portfolio)	#703	898
"Athlone Institute of Technology"	AL864	Early Years Care and Education	307	348
"Athlone Institute of Technology"	AL870	Applied Psychology	409	445
"Institute of Technology, Carlow"	CW018	Business (options, Wexford)	327	349
"Institute of Technology, Carlow"	CW028	Early Childhood Education and Care (Wexford)	252	308
"Institute of Technology, Carlow"	CW038	Art (portfolio, Wexford)	#700	700
"Institute of Technology, Carlow"	CW058	Tourism and Event Management (Wexford)	252	262
"Institute of Technology, Carlow"	CW068	Applied Social Studies - Professional Social Care (Wexford)	251	280
"Institute of Technology, Carlow"	CW078	Sustainable Farm Management and Agribusiness (Wexford)	266	320
"Institute of Technology, Carlow"	CW088	Visual Communications and Design (Wexford)	309	345
"Institute of Technology, Carlow"	CW108	Science (options)	261	326
"Institute of Technology, Carlow"	CW128	Brewing and Distilling	271	298
"Institute of Technology, Carlow"	CW178	Sport Science (options)	399	424
"Institute of Technology, Carlow"	CW188	Sport Rehabilitation and Athletic Therapy	454	473
"Institute of Technology, Carlow"	CW208	Computer Games Development	281	338
"Institute of Technology, Carlow"	CW238	Software Development	300	343
"Institute of Technology, Carlow"	CW248	Information Technology Management	307	357
"Institute of Technology, Carlow"	CW258	Cybercrime and IT Security	300	328
"Institute of Technology, Carlow"	CW268	Computing in Interactive Digital Art and Design	274	321
